train_loss,train_acc,test_loss,test_acc
1.881046724136528070e+00,3.295000000000000284e+01,1.443735029697418293e+00,4.782000000000000028e+01
1.488220245941825448e+00,4.674000000000000199e+01,1.276448936462402317e+00,5.396999999999999886e+01
1.315271297074339873e+00,5.295400000000000063e+01,1.675317399501800475e+00,4.307000000000000028e+01
1.194051801396148083e+00,5.748799999999999955e+01,1.152714019417762747e+00,5.896000000000000085e+01
1.102178397538411847e+00,6.100000000000000000e+01,9.688796323537826050e-01,6.595000000000000284e+01
1.027120476031242458e+00,6.389399999999999835e+01,1.278626624345779339e+00,5.675999999999999801e+01
9.785425804765023328e-01,6.554399999999999693e+01,9.351241689920425371e-01,6.701000000000000512e+01
9.304968333610182940e-01,6.738400000000000034e+01,8.956623476743698076e-01,6.893000000000000682e+01
8.930093522571846965e-01,6.876999999999999602e+01,8.900222194194793435e-01,6.889000000000000057e+01
8.576534895031043826e-01,7.000400000000000489e+01,8.821734583377838224e-01,6.918999999999999773e+01
8.229664376629587386e-01,7.141599999999999682e+01,1.220640439987182635e+00,6.013000000000000256e+01
7.973223886526453752e-01,7.236799999999999500e+01,7.942716670036316096e-01,7.273999999999999488e+01
7.701521352733797787e-01,7.320199999999999818e+01,7.604436680674553362e-01,7.365000000000000568e+01
7.473004038833901408e-01,7.383799999999999386e+01,1.065841624736785898e+00,6.506999999999999318e+01
7.291462406173081501e-01,7.457399999999999807e+01,9.027940273284912331e-01,6.929000000000000625e+01
7.156727079235379874e-01,7.525000000000000000e+01,7.073148936033248901e-01,7.523999999999999488e+01
6.924099227046722760e-01,7.601200000000000045e+01,8.308471256494521784e-01,7.201000000000000512e+01
6.797474158541930711e-01,7.656000000000000227e+01,7.362752816081047369e-01,7.479999999999999716e+01
6.610979924878805924e-01,7.700600000000000023e+01,7.474848052859306424e-01,7.456000000000000227e+01
6.460136315401863172e-01,7.759399999999999409e+01,6.811895358562469749e-01,7.673999999999999488e+01
6.346942014858850678e-01,7.792600000000000193e+01,6.940820220112801087e-01,7.689000000000000057e+01
6.210390492473416568e-01,7.845000000000000284e+01,7.217927157878876177e-01,7.539000000000000057e+01
6.056733556720607092e-01,7.915200000000000102e+01,6.322710648179054038e-01,7.823999999999999488e+01
5.995246364027643216e-01,7.916400000000000148e+01,6.802939757704734580e-01,7.656000000000000227e+01
5.846383530465538714e-01,7.967000000000000171e+01,6.386346518993377686e-01,7.815000000000000568e+01
5.739229377120962372e-01,8.007999999999999829e+01,7.278669151663780257e-01,7.554999999999999716e+01
5.696351387159294122e-01,8.007599999999999341e+01,7.173291012644767983e-01,7.545000000000000284e+01
5.517826485054572183e-01,8.087600000000000477e+01,6.309889703989028931e-01,7.820000000000000284e+01
5.517226810498006007e-01,8.078799999999999670e+01,6.227812439203261885e-01,7.882999999999999829e+01
5.357013979683751259e-01,8.142199999999999704e+01,6.321015229821205228e-01,7.817000000000000171e+01
4.752045088564343378e-01,8.369799999999999329e+01,5.854005423188209933e-01,8.026000000000000512e+01
4.591548320125131144e-01,8.429800000000000182e+01,5.639883324503898177e-01,8.120999999999999375e+01
4.439994366577519336e-01,8.453400000000000603e+01,5.681803634762764288e-01,8.114000000000000057e+01
4.412519221796709079e-01,8.470600000000000307e+01,5.710440790653228404e-01,8.060999999999999943e+01
4.371766486893529646e-01,8.479800000000000182e+01,5.865817880630492809e-01,8.040999999999999659e+01
4.290954033508325161e-01,8.521399999999999864e+01,6.137128400802612793e-01,8.023999999999999488e+01
4.221411742975034742e-01,8.540200000000000102e+01,6.197329035401344388e-01,7.993999999999999773e+01
4.208912990815804056e-01,8.550400000000000489e+01,5.477708190679549949e-01,8.157999999999999829e+01
4.119872636045031622e-01,8.572799999999999443e+01,5.420801708102226391e-01,8.210999999999999943e+01
4.024483965104803107e-01,8.611599999999999966e+01,5.637463045120238991e-01,8.195999999999999375e+01
4.012821581205138766e-01,8.604399999999999693e+01,5.392374405264854786e-01,8.217000000000000171e+01
3.945450807166526186e-01,8.632200000000000273e+01,5.761338186264037819e-01,8.106000000000000227e+01
3.960415852801574266e-01,8.616400000000000148e+01,5.978879514336585821e-01,8.003000000000000114e+01
3.835703629209562537e-01,8.676800000000000068e+01,5.596664109826088307e-01,8.143000000000000682e+01
3.800425404859015810e-01,8.672400000000000375e+01,5.547398486733436940e-01,8.198999999999999488e+01
3.727540913064156802e-01,8.695000000000000284e+01,5.401696342229843628e-01,8.220999999999999375e+01
3.720283560893115071e-01,8.719199999999999307e+01,5.298616278171539573e-01,8.253000000000000114e+01
3.667570472220935685e-01,8.727200000000000557e+01,5.516788870096206443e-01,8.232999999999999829e+01
3.672610160411166613e-01,8.720199999999999818e+01,5.556218907237052695e-01,8.201999999999999602e+01
3.606692216432917930e-01,8.743200000000000216e+01,5.731084325909614474e-01,8.109000000000000341e+01
3.552588711080648665e-01,8.768999999999999773e+01,5.837989306449890003e-01,8.112999999999999545e+01
3.484479198065560390e-01,8.786400000000000432e+01,5.316070288419723067e-01,8.298999999999999488e+01
3.469013969611633996e-01,8.785599999999999454e+01,5.442755311727524026e-01,8.225000000000000000e+01
3.446763242830706009e-01,8.801600000000000534e+01,5.672277027368545221e-01,8.242000000000000171e+01
3.442216525830881224e-01,8.808400000000000318e+01,5.710376954078674183e-01,8.145999999999999375e+01
3.369193446758153021e-01,8.825400000000000489e+01,6.240033841133117987e-01,8.056000000000000227e+01
3.358852621310812192e-01,8.828199999999999648e+01,5.932665097713470947e-01,8.123999999999999488e+01
3.305540948039125682e-01,8.845600000000000307e+01,5.914560317993163840e-01,8.143999999999999773e+01
3.254695426091513411e-01,8.878000000000000114e+01,5.541323772072792586e-01,8.264000000000000057e+01
3.215775843471517237e-01,8.875199999999999534e+01,5.736797127127647444e-01,8.196999999999999886e+01
2.738779668346085772e-01,9.061199999999999477e+01,5.031456643342971935e-01,8.459999999999999432e+01
2.602907804119617419e-01,9.100000000000000000e+01,5.148254521191120148e-01,8.407999999999999829e+01
2.474087581533910007e-01,9.155400000000000205e+01,5.274719172716140214e-01,8.365000000000000568e+01
2.410302750404228755e-01,9.163400000000000034e+01,5.247328457236289934e-01,8.395000000000000284e+01
2.383265975681717053e-01,9.179600000000000648e+01,5.417576694488525080e-01,8.354000000000000625e+01
2.347650534432867420e-01,9.179200000000000159e+01,5.294882628321647688e-01,8.400000000000000000e+01
2.350072546307083177e-01,9.182999999999999829e+01,5.064690634608268738e-01,8.448999999999999488e+01
2.252783457488964913e-01,9.231399999999999295e+01,5.408080953359604148e-01,8.412000000000000455e+01
2.205139412675672095e-01,9.243999999999999773e+01,5.337230008840561091e-01,8.395999999999999375e+01
2.249323532099614109e-01,9.226600000000000534e+01,5.527443614602088884e-01,8.351999999999999602e+01
2.189422542481776202e-01,9.231000000000000227e+01,5.401178705692291082e-01,8.390999999999999659e+01
2.129616201152582100e-01,9.264600000000000080e+01,5.680251520872116044e-01,8.331000000000000227e+01
2.120639886087773707e-01,9.268200000000000216e+01,5.688585808873176664e-01,8.331000000000000227e+01
2.114005311180258695e-01,9.269400000000000261e+01,5.689774958789348691e-01,8.334000000000000341e+01
2.099766977455304884e-01,9.276999999999999602e+01,5.354949945211410212e-01,8.426999999999999602e+01
2.043032474873011095e-01,9.295000000000000284e+01,5.601347580552100691e-01,8.365999999999999659e+01
2.048312978595114020e-01,9.283400000000000318e+01,5.581169381737709489e-01,8.404999999999999716e+01
2.018047933993132315e-01,9.303799999999999670e+01,5.637748610973357666e-01,8.371999999999999886e+01
