train_loss,train_acc,test_loss,test_acc
1.888645838593582926e+00,3.064199999999999946e+01,1.595398708581924341e+00,4.085999999999999943e+01
1.534433094131977038e+00,4.256300000000000239e+01,1.397003053426742580e+00,4.900000000000000000e+01
1.376771853098174292e+00,4.870199999999999818e+01,1.226953519582748342e+00,5.671999999999999886e+01
1.246945370188759394e+00,5.400000000000000000e+01,1.172449890971183795e+00,5.813000000000000256e+01
1.148355096502377215e+00,5.767699999999999960e+01,1.115326564908027729e+00,6.028000000000000114e+01
1.076929053687073701e+00,6.032999999999999829e+01,1.113756553530693028e+00,6.068999999999999773e+01
1.006794278426548450e+00,6.293200000000000216e+01,1.339331157207489076e+00,5.525999999999999801e+01
9.593501562047797027e-01,6.471099999999999852e+01,1.045676668286323441e+00,6.261999999999999744e+01
9.090086233890269929e-01,6.672400000000000375e+01,9.120296412706374589e-01,6.853000000000000114e+01
8.700595935592261299e-01,6.816700000000000159e+01,9.271779114007949740e-01,6.815999999999999659e+01
8.399205267276910192e-01,6.904800000000000182e+01,8.190098732709885088e-01,7.104000000000000625e+01
8.079639106150477978e-01,7.032099999999999795e+01,8.164332270622253196e-01,7.248000000000000398e+01
7.897975056067757516e-01,7.094400000000000261e+01,8.701578074693679943e-01,6.953000000000000114e+01
7.685313009849900068e-01,7.185200000000000387e+01,9.578924602270126876e-01,6.731000000000000227e+01
7.465762366419252949e-01,7.248499999999999943e+01,9.571237713098526001e-01,6.689000000000000057e+01
7.327477614897901503e-01,7.308899999999999864e+01,8.595854210853576260e-01,7.048999999999999488e+01
7.208151081029106066e-01,7.344799999999999329e+01,7.468200489878654702e-01,7.498999999999999488e+01
7.063774643346781845e-01,7.395000000000000284e+01,6.873874303698539467e-01,7.673000000000000398e+01
6.905221307978910428e-01,7.466899999999999693e+01,8.883511352539062988e-01,7.037000000000000455e+01
6.818528765302789285e-01,7.476099999999999568e+01,7.487638708949089228e-01,7.454999999999999716e+01
6.727904533333790571e-01,7.510200000000000387e+01,6.956382751464843528e-01,7.646999999999999886e+01
6.656685683428479328e-01,7.556000000000000227e+01,7.308503106236458047e-01,7.481000000000000227e+01
6.561974107914263499e-01,7.561899999999999977e+01,7.110154646635055142e-01,7.501999999999999602e+01
6.427272309732559030e-01,7.637399999999999523e+01,7.993661773204803200e-01,7.273999999999999488e+01
6.392529726485767227e-01,7.631000000000000227e+01,6.479540419578552202e-01,7.765000000000000568e+01
6.272877575948719864e-01,7.667100000000000648e+01,7.135797300934791920e-01,7.565999999999999659e+01
6.229867349805124910e-01,7.690800000000000125e+01,6.006670954823494224e-01,7.956000000000000227e+01
6.210733492813451662e-01,7.677500000000000568e+01,6.612586301565169800e-01,7.701999999999999602e+01
6.130706388169847587e-01,7.714199999999999591e+01,6.122600281238556041e-01,7.906000000000000227e+01
6.111217925463185985e-01,7.726699999999999591e+01,6.701890221238135936e-01,7.670999999999999375e+01
4.972740119070653275e-01,8.161899999999999977e+01,4.864721861481666743e-01,8.348000000000000398e+01
4.580637205897085118e-01,8.277700000000000102e+01,4.590108403563499251e-01,8.439000000000000057e+01
4.432071426792827951e-01,8.311400000000000432e+01,4.560486489534378296e-01,8.437000000000000455e+01
4.339537668563520634e-01,8.333100000000000307e+01,4.482445138692855990e-01,8.496999999999999886e+01
4.218525193688814623e-01,8.390600000000000591e+01,4.445358583331108226e-01,8.531000000000000227e+01
4.170242915373019166e-01,8.402500000000000568e+01,4.397352114319801331e-01,8.517000000000000171e+01
4.108861346378960833e-01,8.416899999999999693e+01,4.389989742636680736e-01,8.484000000000000341e+01
4.072881613850898308e-01,8.438200000000000500e+01,4.400063896179199352e-01,8.484999999999999432e+01
3.985376753618040113e-01,8.457699999999999818e+01,4.338673658668995015e-01,8.528000000000000114e+01
3.929013848838294187e-01,8.462099999999999511e+01,4.343875175714492776e-01,8.517000000000000171e+01
3.903069523975367661e-01,8.483799999999999386e+01,4.240636295080185136e-01,8.581000000000000227e+01
3.868434766826727156e-01,8.497899999999999920e+01,4.277803002297878021e-01,8.573999999999999488e+01
3.814505259399219028e-01,8.513599999999999568e+01,4.227092760801315352e-01,8.545999999999999375e+01
3.765063258769262289e-01,8.512999999999999545e+01,4.278019848465919317e-01,8.562999999999999545e+01
