train_loss,train_acc,test_loss,test_acc
1.980440738560903302e+00,2.958599999999999852e+01,1.584096715450286963e+00,4.143999999999999773e+01
1.587933787299544042e+00,4.203600000000000136e+01,1.489975636005401505e+00,4.657000000000000028e+01
1.407112308780250620e+00,4.959599999999999653e+01,1.373028802871704146e+00,5.049000000000000199e+01
1.255384326590906374e+00,5.545199999999999818e+01,1.479195300340652386e+00,4.942999999999999972e+01
1.144386336474162436e+00,6.009400000000000119e+01,1.231841456890106157e+00,5.877000000000000313e+01
1.080356665127112814e+00,6.266199999999999903e+01,1.116326678991317767e+00,6.057999999999999829e+01
1.033266010949069003e+00,6.412800000000000011e+01,1.173906189799308830e+00,5.917999999999999972e+01
9.883749108485249124e-01,6.606399999999999295e+01,1.144341207742691102e+00,6.186999999999999744e+01
9.460847406740993115e-01,6.758400000000000318e+01,1.264383767247200030e+00,5.589000000000000057e+01
9.252398469868827746e-01,6.839199999999999591e+01,1.055778204798698328e+00,6.357999999999999829e+01
9.062614910437932769e-01,6.912600000000000477e+01,9.093499714136124012e-01,6.940000000000000568e+01
8.920756442772458383e-01,6.954600000000000648e+01,1.170668516159057537e+00,6.204999999999999716e+01
8.718221100699871107e-01,7.024399999999999977e+01,9.372347152233123646e-01,6.853000000000000114e+01
8.573396183035867368e-01,7.090000000000000568e+01,8.859310621023177568e-01,7.009999999999999432e+01
8.482940239674600091e-01,7.119599999999999795e+01,9.318676817417145264e-01,6.732999999999999829e+01
8.350735524731218717e-01,7.171399999999999864e+01,8.525294607877731412e-01,7.095999999999999375e+01
8.361143193891286129e-01,7.183199999999999363e+01,1.246210461258888236e+00,6.034000000000000341e+01
8.256438665682702682e-01,7.223799999999999955e+01,9.607708978652954590e-01,6.776000000000000512e+01
8.139216835846376785e-01,7.248799999999999955e+01,9.444272071123123169e-01,6.879999999999999716e+01
8.065098796963996453e-01,7.262800000000000011e+01,1.115437614321708626e+00,6.300000000000000000e+01
8.048611518062288583e-01,7.275400000000000489e+01,1.199208661317825220e+00,6.347999999999999687e+01
7.985776639960305845e-01,7.293399999999999750e+01,1.024087282419204659e+00,6.551000000000000512e+01
7.924018973279791656e-01,7.332999999999999829e+01,9.262671798467636552e-01,6.843000000000000682e+01
7.900325090379056725e-01,7.323199999999999932e+01,1.261274433732032740e+00,5.892999999999999972e+01
7.891667659020484837e-01,7.359999999999999432e+01,9.780520528554916826e-01,6.709000000000000341e+01
7.796668236517845241e-01,7.351800000000000068e+01,9.553340536355972024e-01,6.867000000000000171e+01
7.777061308436381548e-01,7.367199999999999704e+01,8.995401513576507524e-01,7.029000000000000625e+01
7.794488002272212945e-01,7.368200000000000216e+01,1.204368674755096347e+00,6.132000000000000028e+01
7.734771876993691286e-01,7.403400000000000603e+01,1.180236855149269015e+00,6.227000000000000313e+01
7.627834974957243830e-01,7.436599999999999966e+01,8.542846560478210005e-01,7.109999999999999432e+01
5.762304906802409032e-01,8.054200000000000159e+01,5.415648084878921242e-01,8.164000000000000057e+01
5.128715720475481854e-01,8.270600000000000307e+01,5.028863313794136314e-01,8.298999999999999488e+01
4.869162595790365589e-01,8.343600000000000705e+01,5.084583483636379020e-01,8.259000000000000341e+01
4.719986205210771057e-01,8.382999999999999829e+01,5.069851189851760642e-01,8.295000000000000284e+01
4.615414481791084156e-01,8.431999999999999318e+01,5.181188371777534218e-01,8.262000000000000455e+01
4.488604920904349926e-01,8.468000000000000682e+01,5.202939057350158825e-01,8.232999999999999829e+01
4.380913245708436543e-01,8.518999999999999773e+01,4.794661539793014793e-01,8.351999999999999602e+01
4.294550940966057606e-01,8.557200000000000273e+01,5.109904643893241616e-01,8.312000000000000455e+01
4.191441178474279994e-01,8.582399999999999807e+01,4.747093687951564611e-01,8.404999999999999716e+01
4.121793370188959194e-01,8.610999999999999943e+01,4.820247355103493003e-01,8.373999999999999488e+01
4.035541132816573007e-01,8.617199999999999704e+01,4.815108108520507746e-01,8.379999999999999716e+01
4.022107280200094559e-01,8.630800000000000693e+01,5.058962443470954584e-01,8.321999999999999886e+01
3.971174994240636580e-01,8.646800000000000352e+01,5.122957712411880804e-01,8.285999999999999943e+01
3.897538272773518053e-01,8.681999999999999318e+01,4.884745712578296706e-01,8.370999999999999375e+01
3.926760342038805862e-01,8.659799999999999898e+01,5.077302989363670083e-01,8.289000000000000057e+01
3.894709764081803471e-01,8.679399999999999693e+01,5.061899583041667983e-01,8.351999999999999602e+01
3.801485394958949993e-01,8.692799999999999727e+01,5.579267853498458551e-01,8.181999999999999318e+01
3.777343039317508921e-01,8.721200000000000330e+01,5.359089329838753191e-01,8.253000000000000114e+01
3.794085661621044991e-01,8.703000000000000114e+01,5.329381319880485135e-01,8.259999999999999432e+01
3.732751658962815688e-01,8.716200000000000614e+01,6.009573325514793174e-01,8.039000000000000057e+01
3.686482482935156679e-01,8.745399999999999352e+01,5.416225498914718495e-01,8.203000000000000114e+01
3.644241367459601921e-01,8.753799999999999670e+01,5.678195548057556330e-01,8.189000000000000057e+01
3.686071818746873840e-01,8.739199999999999591e+01,5.004452218115329476e-01,8.376999999999999602e+01
3.696536386333158508e-01,8.729200000000000159e+01,4.809632682800292769e-01,8.390000000000000568e+01
3.651819959320985465e-01,8.752800000000000580e+01,6.519005858898162531e-01,7.896999999999999886e+01
3.584200136192009500e-01,8.791599999999999682e+01,6.432301476597785950e-01,7.901999999999999602e+01
3.593190846312076525e-01,8.755400000000000205e+01,5.015458065271377608e-01,8.337999999999999545e+01
3.594104659831737214e-01,8.772199999999999420e+01,4.906521794199943387e-01,8.379999999999999716e+01
3.579878958747210183e-01,8.778400000000000603e+01,5.187369044125079709e-01,8.312999999999999545e+01
3.576345327870010249e-01,8.787000000000000455e+01,5.439799508452415333e-01,8.245999999999999375e+01
2.895816295881710190e-01,9.022199999999999420e+01,4.260212047398090340e-01,8.603000000000000114e+01
2.650267638056479358e-01,9.112999999999999545e+01,4.198726165294647261e-01,8.625000000000000000e+01
2.525758374568141673e-01,9.140200000000000102e+01,4.143051956593990504e-01,8.665000000000000568e+01
2.424637500549216285e-01,9.180400000000000205e+01,4.239771601557731362e-01,8.610999999999999943e+01
2.380396645239856723e-01,9.193600000000000705e+01,4.221456795930862427e-01,8.656999999999999318e+01
2.357809777797945372e-01,9.210599999999999454e+01,4.192659898102283345e-01,8.665999999999999659e+01
2.274730678485787361e-01,9.224200000000000443e+01,4.233298882842063682e-01,8.668000000000000682e+01
2.254634408847145388e-01,9.252200000000000557e+01,4.245918302237987607e-01,8.668000000000000682e+01
2.182842528499910617e-01,9.259199999999999875e+01,4.265066859126090959e-01,8.689000000000000057e+01
2.173980491050064023e-01,9.264000000000000057e+01,4.294871349632740087e-01,8.679000000000000625e+01
2.115504212315430232e-01,9.291599999999999682e+01,4.290840384364127957e-01,8.706999999999999318e+01
2.103092678253302983e-01,9.293600000000000705e+01,4.282616716623306452e-01,8.689000000000000057e+01
2.097132896523341561e-01,9.299399999999999977e+01,4.264991191029548490e-01,8.676000000000000512e+01
2.105745375156402588e-01,9.289799999999999613e+01,4.284221111238002977e-01,8.673000000000000398e+01
2.061840844390642191e-01,9.300000000000000000e+01,4.350101503729820185e-01,8.639000000000000057e+01
2.025997817059002337e-01,9.315600000000000591e+01,4.318703500926494576e-01,8.665999999999999659e+01
1.965921211158832838e-01,9.337000000000000455e+01,4.276945777237415314e-01,8.701999999999999602e+01
1.959198940821620938e-01,9.343200000000000216e+01,4.321655312180519015e-01,8.687999999999999545e+01
1.966112015954673831e-01,9.336799999999999500e+01,4.346164034307002932e-01,8.676000000000000512e+01
1.904223970973583091e-01,9.355800000000000693e+01,4.330410060286521978e-01,8.701000000000000512e+01
1.934354701805907351e-01,9.346399999999999864e+01,4.352341546118259630e-01,8.668000000000000682e+01
1.878318415807031239e-01,9.366400000000000148e+01,4.364096337556839234e-01,8.682999999999999829e+01
1.909713161647167423e-01,9.349200000000000443e+01,4.345527245104313097e-01,8.675000000000000000e+01
1.842148178983527285e-01,9.379999999999999716e+01,4.365890413522720559e-01,8.671999999999999886e+01
1.809605846605489843e-01,9.401200000000000045e+01,4.414217054843902477e-01,8.682999999999999829e+01
1.799376542153565683e-01,9.389600000000000080e+01,4.414686502516269595e-01,8.673000000000000398e+01
1.771825432510631959e-01,9.395600000000000307e+01,4.439317704737186232e-01,8.678000000000000114e+01
1.751849595790781200e-01,9.405200000000000671e+01,4.454503943026065782e-01,8.662000000000000455e+01
1.799711027489903636e-01,9.393999999999999773e+01,4.463421836495399253e-01,8.679999999999999716e+01
1.689483451149652593e-01,9.431399999999999295e+01,4.429966358840465301e-01,8.662999999999999545e+01
1.686011171325698110e-01,9.421800000000000352e+01,4.342844006419182001e-01,8.682999999999999829e+01
1.616322423433861066e-01,9.466400000000000148e+01,4.366580899059772647e-01,8.687999999999999545e+01
1.600994489648762953e-01,9.464000000000000057e+01,4.341399563848972187e-01,8.701000000000000512e+01
1.557133791639524478e-01,9.476399999999999579e+01,4.333313506841659501e-01,8.698999999999999488e+01
1.577269334222197172e-01,9.475199999999999534e+01,4.356379327178001581e-01,8.703000000000000114e+01
1.565849985403325595e-01,9.475799999999999557e+01,4.347213585674762903e-01,8.696999999999999886e+01
1.585987891782732473e-01,9.468600000000000705e+01,4.334585474431514873e-01,8.715999999999999659e+01
1.586160353954186031e-01,9.463800000000000523e+01,4.363433259725570945e-01,8.718999999999999773e+01
1.545960854386429773e-01,9.475400000000000489e+01,4.377647796273231307e-01,8.703000000000000114e+01
1.535013998522782863e-01,9.481199999999999761e+01,4.360990209877491086e-01,8.715999999999999659e+01
