train_loss,train_acc,test_loss,test_acc
1.793509598583211684e+00,3.536800000000000210e+01,1.747032814025878844e+00,3.925999999999999801e+01
1.391091029967188586e+00,4.986399999999999721e+01,1.577517364025115887e+00,4.657999999999999829e+01
1.211824391504078058e+00,5.716199999999999903e+01,1.454763675928115951e+00,4.842000000000000171e+01
1.090408563461449987e+00,6.156199999999999761e+01,1.016607837677002024e+00,6.476000000000000512e+01
1.010106373473506514e+00,6.464400000000000546e+01,1.265067299008369339e+00,5.720000000000000284e+01
9.455891224124547412e-01,6.719400000000000261e+01,1.115003663301467940e+00,6.314000000000000057e+01
8.895573253216950693e-01,6.904000000000000625e+01,9.202460068464278775e-01,6.795999999999999375e+01
8.552698398490086173e-01,7.034199999999999875e+01,1.009512963891029402e+00,6.493999999999999773e+01
8.145162293978054358e-01,7.171399999999999864e+01,7.746557718515396651e-01,7.315999999999999659e+01
7.865277527238402344e-01,7.290999999999999659e+01,9.930223566293716608e-01,6.523999999999999488e+01
7.603314166788555095e-01,7.402400000000000091e+01,8.863320714235305431e-01,6.910999999999999943e+01
7.287277468025227245e-01,7.493000000000000682e+01,8.516695499420166016e-01,7.093000000000000682e+01
7.119659917891177914e-01,7.547599999999999909e+01,7.080107650160789579e-01,7.526000000000000512e+01
6.936131543515587916e-01,7.594599999999999795e+01,7.330259770154953225e-01,7.465999999999999659e+01
6.742394933920077271e-01,7.682200000000000273e+01,8.289856457710266247e-01,7.176999999999999602e+01
6.596863307154087197e-01,7.742000000000000171e+01,7.886640906333923784e-01,7.406999999999999318e+01
6.416940910889364913e-01,7.798999999999999488e+01,6.255444955825805176e-01,7.865999999999999659e+01
6.279348453597339841e-01,7.852400000000000091e+01,6.928689604997635421e-01,7.606000000000000227e+01
6.161669857819062068e-01,7.862999999999999545e+01,7.017649123072624562e-01,7.626000000000000512e+01
6.023828711960931281e-01,7.931999999999999318e+01,8.151569455862045510e-01,7.273999999999999488e+01
5.937522809828639225e-01,7.959199999999999875e+01,6.374444824457168313e-01,7.798000000000000398e+01
5.857199075276894318e-01,8.003799999999999670e+01,6.274239560961722972e-01,7.859999999999999432e+01
5.696827741077793439e-01,8.045799999999999841e+01,6.652894243597984314e-01,7.759000000000000341e+01
5.641326676396762885e-01,8.067199999999999704e+01,6.407106453180313466e-01,7.829000000000000625e+01
5.579290519589963360e-01,8.098799999999999955e+01,5.915912914276123535e-01,7.956000000000000227e+01
5.433499026481453109e-01,8.146599999999999397e+01,5.915159153938293057e-01,7.978000000000000114e+01
5.367910305557348494e-01,8.162399999999999523e+01,6.663160383701324241e-01,7.715999999999999659e+01
5.292178211004837651e-01,8.201800000000000068e+01,6.046335652470589128e-01,7.950000000000000000e+01
5.201962936259901804e-01,8.217000000000000171e+01,6.844467833638191445e-01,7.687999999999999545e+01
5.161877421619337492e-01,8.233799999999999386e+01,6.915655022859573675e-01,7.640999999999999659e+01
4.384270303923150647e-01,8.507599999999999341e+01,5.571858122944831626e-01,8.129000000000000625e+01
4.172372631633373130e-01,8.577200000000000557e+01,4.871701094508171237e-01,8.342000000000000171e+01
4.112894171110504371e-01,8.600799999999999557e+01,5.155304017663001614e-01,8.295000000000000284e+01
4.055032325370232504e-01,8.625199999999999534e+01,4.982815894484520225e-01,8.314000000000000057e+01
4.009285700290708965e-01,8.625799999999999557e+01,4.989869478344917120e-01,8.314000000000000057e+01
3.948452220014903591e-01,8.653000000000000114e+01,5.077268934249877796e-01,8.331999999999999318e+01
3.878615110197945470e-01,8.648399999999999466e+01,4.990225824713707126e-01,8.340000000000000568e+01
3.837548932989540140e-01,8.689000000000000057e+01,5.127137371897697582e-01,8.245999999999999375e+01
3.766144359355692584e-01,8.717400000000000659e+01,4.887653106451034790e-01,8.359000000000000341e+01
3.783075723349285657e-01,8.704000000000000625e+01,5.008596055209636466e-01,8.321999999999999886e+01
3.691423999150390545e-01,8.737999999999999545e+01,4.994224506616592452e-01,8.345000000000000284e+01
3.672664697898928021e-01,8.748199999999999932e+01,4.990782338380813643e-01,8.359000000000000341e+01
3.595954255603463490e-01,8.751600000000000534e+01,5.736711198091506425e-01,8.126000000000000512e+01
3.622556626796722412e-01,8.756000000000000227e+01,5.163922324776649697e-01,8.265000000000000568e+01
3.553115700364417595e-01,8.776399999999999579e+01,5.282131549715995966e-01,8.281000000000000227e+01
3.524445410808333956e-01,8.786799999999999500e+01,5.024425897002220420e-01,8.340999999999999659e+01
3.488158050095638840e-01,8.802800000000000580e+01,4.814735019207000977e-01,8.412000000000000455e+01
3.432503269837640647e-01,8.832599999999999341e+01,4.848849041759967782e-01,8.429000000000000625e+01
3.394443695350071177e-01,8.833199999999999363e+01,5.195379987359046714e-01,8.326999999999999602e+01
3.393274496126053030e-01,8.845999999999999375e+01,4.957654321193695202e-01,8.375000000000000000e+01
3.357535714993391540e-01,8.849599999999999511e+01,4.886087533831596219e-01,8.376999999999999602e+01
3.347409687307484893e-01,8.853799999999999670e+01,5.299692302942276001e-01,8.265999999999999659e+01
3.314854309458257209e-01,8.869199999999999307e+01,4.786013808846473760e-01,8.440999999999999659e+01
3.240867829917337128e-01,8.872199999999999420e+01,4.987730754911899322e-01,8.375000000000000000e+01
3.207237668278272169e-01,8.892199999999999704e+01,5.089264501631259874e-01,8.354000000000000625e+01
3.218514170411907460e-01,8.883799999999999386e+01,5.451455886662006645e-01,8.276000000000000512e+01
3.184303825392442722e-01,8.918200000000000216e+01,5.282094487547874806e-01,8.262999999999999545e+01
3.158876107019536472e-01,8.913599999999999568e+01,5.250179302692413730e-01,8.273999999999999488e+01
3.087616383343401716e-01,8.954600000000000648e+01,4.891201496124267800e-01,8.390999999999999659e+01
3.080611416636525601e-01,8.949200000000000443e+01,5.201111528277396756e-01,8.295000000000000284e+01
2.544460393240689511e-01,9.131600000000000250e+01,4.769446814060211426e-01,8.460999999999999943e+01
2.431874983679608027e-01,9.174200000000000443e+01,4.553643451631069206e-01,8.573999999999999488e+01
2.338738627445972051e-01,9.184399999999999409e+01,4.718171626329422108e-01,8.518999999999999773e+01
2.295905712925259690e-01,9.216400000000000148e+01,5.089887987077236220e-01,8.426999999999999602e+01
2.238531034354053761e-01,9.234999999999999432e+01,4.890591037273406827e-01,8.481000000000000227e+01
2.218246397650455171e-01,9.242199999999999704e+01,4.743871892988681949e-01,8.528000000000000114e+01
2.152823593915270950e-01,9.273000000000000398e+01,4.681725253164767953e-01,8.548000000000000398e+01
2.122138157639357203e-01,9.270999999999999375e+01,5.084191426634788735e-01,8.443000000000000682e+01
2.112261538996416110e-01,9.267600000000000193e+01,4.867833802103996299e-01,8.510999999999999943e+01
2.095911817629928786e-01,9.280800000000000693e+01,4.880197095870971724e-01,8.492000000000000171e+01
2.046840886020904193e-01,9.295799999999999841e+01,4.775260227918625144e-01,8.537000000000000455e+01
2.055135474866613410e-01,9.300199999999999534e+01,4.899684906005859486e-01,8.543000000000000682e+01
2.034066653122072743e-01,9.301000000000000512e+01,4.893456895649432870e-01,8.526999999999999602e+01
1.986838773350276532e-01,9.317000000000000171e+01,5.086839218437672061e-01,8.504999999999999716e+01
1.929724437120320657e-01,9.340800000000000125e+01,4.907803583145141646e-01,8.515999999999999659e+01
1.919382069155078363e-01,9.351600000000000534e+01,5.368142092227935480e-01,8.409999999999999432e+01
1.942790595390607722e-01,9.342400000000000659e+01,4.970087823271751581e-01,8.518000000000000682e+01
1.913174819534696758e-01,9.353600000000000136e+01,4.787779355049133212e-01,8.542000000000000171e+01
1.919901988771565426e-01,9.355200000000000671e+01,5.030627889931201802e-01,8.490000000000000568e+01
1.873659833579721934e-01,9.361199999999999477e+01,5.009226615726948273e-01,8.520000000000000284e+01
1.848782524657066606e-01,9.362399999999999523e+01,5.084867732226848736e-01,8.489000000000000057e+01
1.858242254923371806e-01,9.368800000000000239e+01,5.121658822894096241e-01,8.509999999999999432e+01
1.822571613066031881e-01,9.371999999999999886e+01,5.387427043914795322e-01,8.440000000000000568e+01
1.850333435894430667e-01,9.368000000000000682e+01,5.350516271591186923e-01,8.420999999999999375e+01
1.828125833397936106e-01,9.372799999999999443e+01,5.199996185302734331e-01,8.501000000000000512e+01
1.785296958959315949e-01,9.373799999999999955e+01,5.118053877353667680e-01,8.535999999999999943e+01
