# train_loss,train_acc,test_loss,test_acc
1.925193734181201766e+00,2.891000000000000014e+01,1.567419232130050633e+00,4.189000000000000057e+01
1.559531735947065068e+00,4.123100000000000165e+01,1.396246492862701416e+00,4.929999999999999716e+01
1.412508098060822448e+00,4.726700000000000301e+01,1.237268929481506241e+00,5.578999999999999915e+01
1.286235934328240127e+00,5.250900000000000034e+01,1.346787503957748378e+00,5.302000000000000313e+01
1.178551472208993811e+00,5.660000000000000142e+01,1.132117797732353104e+00,6.021999999999999886e+01
1.093774451166772410e+00,5.985099999999999909e+01,1.239225260615348878e+00,5.718999999999999773e+01
1.025369834412089398e+00,6.234799999999999898e+01,1.083371436595916837e+00,6.249000000000000199e+01
9.712665059682353830e-01,6.447599999999999909e+01,9.363671654462814020e-01,6.753000000000000114e+01
9.232021346116614513e-01,6.600400000000000489e+01,1.049387409090995815e+00,6.448000000000000398e+01
8.802339067239590698e-01,6.783100000000000307e+01,1.150278978943824804e+00,6.296999999999999886e+01
8.467170628135466393e-01,6.887099999999999511e+01,8.286803972721099587e-01,7.151000000000000512e+01
8.185343353644661812e-01,6.999399999999999977e+01,8.625600439310073808e-01,7.054000000000000625e+01
7.917820617670903172e-01,7.093999999999999773e+01,8.127185344696045144e-01,7.218999999999999773e+01
7.661543261364597290e-01,7.190200000000000102e+01,7.899744850397110163e-01,7.259999999999999432e+01
7.531420215011557229e-01,7.228199999999999648e+01,8.018895041942596391e-01,7.198000000000000398e+01
7.353707814155636679e-01,7.287800000000000011e+01,8.585680866241455211e-01,7.084999999999999432e+01
7.225556972691470348e-01,7.339499999999999602e+01,7.210976177453994884e-01,7.632999999999999829e+01
7.132278402595568778e-01,7.368300000000000693e+01,7.861787235736846791e-01,7.318000000000000682e+01
6.949887508169159123e-01,7.427299999999999613e+01,7.408127626776694896e-01,7.504999999999999716e+01
6.857095408012799931e-01,7.485399999999999920e+01,7.076931491494178328e-01,7.539000000000000057e+01
6.752155561123966976e-01,7.494400000000000261e+01,6.796953907608985768e-01,7.642000000000000171e+01
6.670197518280399640e-01,7.528199999999999648e+01,6.658517864346503723e-01,7.715999999999999659e+01
6.587392296784978507e-01,7.547299999999999898e+01,7.163078328967094066e-01,7.562000000000000455e+01
6.583755904298913553e-01,7.551099999999999568e+01,6.728241643309593734e-01,7.729999999999999716e+01
6.476642674649767395e-01,7.602299999999999613e+01,6.854199051856995073e-01,7.659000000000000341e+01
6.331450237185144436e-01,7.647599999999999909e+01,6.205505448579787808e-01,7.890000000000000568e+01
6.341149947222541883e-01,7.647199999999999420e+01,6.868966555595398260e-01,7.687999999999999545e+01
6.215338978316168328e-01,7.699699999999999989e+01,6.433285850286484253e-01,7.743000000000000682e+01
6.197492825558118534e-01,7.684000000000000341e+01,6.844050660729408264e-01,7.564000000000000057e+01
6.145122516947938429e-01,7.709399999999999409e+01,7.907574319839477672e-01,7.293000000000000682e+01
5.021951269463199585e-01,8.129099999999999682e+01,4.780414205789565996e-01,8.387000000000000455e+01
4.590874505622307700e-01,8.266700000000000159e+01,4.689941585063934215e-01,8.409000000000000341e+01
4.468248493759833240e-01,8.299699999999999989e+01,4.592119684815406666e-01,8.459000000000000341e+01
4.331223427334709997e-01,8.349399999999999977e+01,4.628908213973045305e-01,8.445000000000000284e+01
4.300350403541798872e-01,8.362099999999999511e+01,4.533969783782959007e-01,8.465999999999999659e+01
4.183158537615900285e-01,8.402299999999999613e+01,4.493832594156265126e-01,8.476000000000000512e+01
4.150911018900249050e-01,8.412600000000000477e+01,4.461702555418014526e-01,8.484000000000000341e+01
4.088968402894256893e-01,8.433799999999999386e+01,4.389993721246719383e-01,8.504999999999999716e+01
4.054377148752017490e-01,8.431000000000000227e+01,4.393094307184219338e-01,8.496999999999999886e+01
3.973071946741065230e-01,8.466500000000000625e+01,4.375995257496833601e-01,8.509000000000000341e+01
3.928559119515406817e-01,8.482899999999999352e+01,4.296345737576484636e-01,8.531000000000000227e+01
3.893225463226323013e-01,8.493699999999999761e+01,4.353598639369010703e-01,8.517000000000000171e+01
3.872509248116436931e-01,8.494899999999999807e+01,4.266071406006812783e-01,8.559000000000000341e+01
3.809634338483176008e-01,8.529200000000000159e+01,4.323881849646568076e-01,8.498999999999999488e+01
3.803858875161241770e-01,8.531499999999999773e+01,4.258488252758979575e-01,8.565999999999999659e+01
3.779543988844927815e-01,8.526500000000000057e+01,4.183348092436790511e-01,8.579000000000000625e+01
3.689620225020991406e-01,8.544799999999999329e+01,4.200450740754604340e-01,8.554000000000000625e+01
3.713827990662411094e-01,8.536199999999999477e+01,4.203646239638328397e-01,8.589000000000000057e+01
3.679944713173620152e-01,8.554699999999999704e+01,4.146269042789936243e-01,8.584999999999999432e+01
3.611067071976259424e-01,8.575600000000000023e+01,4.160512475669383980e-01,8.579000000000000625e+01
3.604712602884873052e-01,8.586899999999999977e+01,4.096280103921890459e-01,8.585999999999999943e+01
3.570330808001100920e-01,8.591400000000000148e+01,4.143006089329719366e-01,8.584000000000000341e+01
3.574117299388436808e-01,8.583700000000000330e+01,4.419159129261970298e-01,8.501999999999999602e+01
3.546659187282747427e-01,8.594199999999999307e+01,4.259478038549422974e-01,8.523999999999999488e+01
3.485565658877877726e-01,8.623000000000000398e+01,4.130988401174545133e-01,8.546999999999999886e+01
3.501447611071569765e-01,8.597400000000000375e+01,4.212802599370479850e-01,8.528000000000000114e+01
3.465918712603771601e-01,8.614100000000000534e+01,4.173086637258529574e-01,8.562999999999999545e+01
3.399360678384981127e-01,8.637500000000000000e+01,4.111648242175579004e-01,8.596999999999999886e+01
3.401674590147364952e-01,8.635999999999999943e+01,4.084882631897926442e-01,8.587000000000000455e+01
3.374361212143812683e-01,8.653400000000000603e+01,4.054935711622238426e-01,8.604000000000000625e+01
3.248955240792325561e-01,8.706100000000000705e+01,3.946272009611129783e-01,8.654000000000000625e+01
3.187035324857058205e-01,8.719199999999999307e+01,3.911513639986515245e-01,8.667000000000000171e+01
3.156772239891159626e-01,8.745399999999999352e+01,3.907827666401862965e-01,8.659999999999999432e+01
3.127037233022777474e-01,8.741899999999999693e+01,3.888512156903743966e-01,8.662000000000000455e+01
3.108428249426204992e-01,8.744599999999999795e+01,3.915231716632843195e-01,8.657999999999999829e+01
3.095494253403695550e-01,8.760399999999999920e+01,3.882621809840202109e-01,8.650000000000000000e+01
3.084613423975532398e-01,8.756499999999999773e+01,3.863779416680335754e-01,8.665999999999999659e+01
3.084192700169580137e-01,8.754099999999999682e+01,3.886058634519576893e-01,8.662999999999999545e+01
3.066734268765924920e-01,8.766800000000000637e+01,3.857134616374969238e-01,8.665000000000000568e+01
3.071663275627833922e-01,8.755599999999999739e+01,3.864081592857837588e-01,8.657999999999999829e+01
3.071035830794697774e-01,8.761499999999999488e+01,3.868990194797515825e-01,8.671999999999999886e+01
3.056870977515759868e-01,8.760800000000000409e+01,3.883541776239872179e-01,8.673000000000000398e+01
3.056141766898162748e-01,8.763700000000000045e+01,3.853168845176696555e-01,8.668000000000000682e+01
3.052076427909114487e-01,8.768300000000000693e+01,3.831205296516418390e-01,8.671999999999999886e+01
3.033677260665332831e-01,8.776300000000000523e+01,3.843901690840720864e-01,8.656000000000000227e+01
3.046877292339759125e-01,8.762099999999999511e+01,3.845795053243636907e-01,8.670000000000000284e+01
3.032679661841648500e-01,8.775400000000000489e+01,3.831535884737968245e-01,8.668999999999999773e+01
3.021423836117205219e-01,8.771699999999999875e+01,3.837524180114268990e-01,8.657999999999999829e+01
3.024630328197308593e-01,8.774800000000000466e+01,3.852034212648868805e-01,8.673000000000000398e+01
3.015743536717446771e-01,8.773799999999999955e+01,3.822303380072116785e-01,8.684000000000000341e+01
3.016963238301484385e-01,8.779399999999999693e+01,3.830054327845573425e-01,8.681000000000000227e+01
2.996831686829057317e-01,8.784499999999999886e+01,3.830977137386799014e-01,8.665999999999999659e+01
3.007617144633437101e-01,8.778600000000000136e+01,3.833316859602928228e-01,8.673000000000000398e+01
2.985179023364620821e-01,8.793600000000000705e+01,3.819713670015335016e-01,8.675000000000000000e+01
2.964548201435971975e-01,8.809300000000000352e+01,3.820272988080978260e-01,8.676999999999999602e+01
2.966303700376349828e-01,8.797199999999999420e+01,3.834439578652382163e-01,8.668999999999999773e+01
2.974752976232782342e-01,8.789100000000000534e+01,3.820649750530719646e-01,8.670999999999999375e+01
2.962324593759254054e-01,8.792700000000000671e+01,3.816853635013103263e-01,8.657999999999999829e+01
2.954165397397697235e-01,8.790600000000000591e+01,3.814975090324878582e-01,8.682999999999999829e+01
2.965294859369697611e-01,8.793300000000000693e+01,3.805347695946693642e-01,8.679000000000000625e+01
2.959683247082068869e-01,8.802100000000000080e+01,3.805010005831718223e-01,8.675000000000000000e+01
2.934252572867571685e-01,8.809900000000000375e+01,3.836136186122894309e-01,8.678000000000000114e+01
2.950629210837966698e-01,8.791299999999999670e+01,3.805592624843120442e-01,8.684999999999999432e+01
2.940215959268457913e-01,8.798799999999999955e+01,3.805233651399612671e-01,8.687999999999999545e+01
2.925639112892053362e-01,8.807599999999999341e+01,3.802273672819137529e-01,8.673999999999999488e+01
2.942003723224410616e-01,8.805899999999999750e+01,3.810100044310092970e-01,8.679999999999999716e+01
2.950524098199346912e-01,8.812300000000000466e+01,3.798596410453319305e-01,8.681000000000000227e+01
2.912887879802137925e-01,8.816800000000000637e+01,3.824394136667251809e-01,8.679000000000000625e+01
2.924788999359321240e-01,8.811599999999999966e+01,3.801533615589141601e-01,8.679999999999999716e+01
