train_loss,train_acc,test_loss,test_acc
1.890795223243401102e+00,3.284000000000000341e+01,1.641654239892959666e+00,4.132000000000000028e+01
1.524421128775457657e+00,4.505599999999999739e+01,1.513313782215118364e+00,4.507000000000000028e+01
1.337549657467990816e+00,5.218599999999999994e+01,1.491623259782791200e+00,4.953999999999999915e+01
1.188585818880964151e+00,5.814200000000000301e+01,1.390953763723373315e+00,5.417000000000000171e+01
1.087189534436101557e+00,6.195600000000000307e+01,1.168145247101783690e+00,5.972999999999999687e+01
1.016937996725292059e+00,6.451999999999999602e+01,1.147337521910667402e+00,6.022999999999999687e+01
9.571776130925053749e-01,6.686599999999999966e+01,9.052076387405395552e-01,6.879000000000000625e+01
9.143269042224835275e-01,6.829800000000000182e+01,1.043404581546783394e+00,6.431000000000000227e+01
8.750967319359255203e-01,6.993999999999999773e+01,1.187844828963279697e+00,6.020000000000000284e+01
8.479604702776349923e-01,7.074399999999999977e+01,9.158042216300964489e-01,6.806999999999999318e+01
8.248367878177281787e-01,7.165999999999999659e+01,8.639668381214141712e-01,7.045000000000000284e+01
7.998258794665031868e-01,7.251800000000000068e+01,8.975395214557647661e-01,6.920999999999999375e+01
7.799885942960333995e-01,7.330200000000000671e+01,9.896396201848983720e-01,6.737000000000000455e+01
7.698035401761379459e-01,7.384999999999999432e+01,8.126618206501007302e-01,7.284999999999999432e+01
7.575698940040510587e-01,7.410599999999999454e+01,1.364603052139282235e+00,5.836999999999999744e+01
7.448435851070277502e-01,7.459199999999999875e+01,7.997024768590926813e-01,7.248999999999999488e+01
7.338948121765995758e-01,7.503400000000000603e+01,8.868394386768341242e-01,6.904999999999999716e+01
7.201310264332519973e-01,7.528400000000000603e+01,1.372407577037811244e+00,5.635000000000000142e+01
7.113684902868002702e-01,7.576200000000000045e+01,1.216964386105537477e+00,6.218999999999999773e+01
7.051265670362946159e-01,7.599399999999999977e+01,9.607829791307449518e-01,6.921999999999999886e+01
6.925077631955256496e-01,7.638599999999999568e+01,8.614406210184096802e-01,6.981000000000000227e+01
6.872227467082040464e-01,7.665800000000000125e+01,8.064900189638137817e-01,7.276000000000000512e+01
6.793075926468500336e-01,7.688200000000000500e+01,9.294462108612060458e-01,6.904000000000000625e+01
6.771329498047109485e-01,7.704800000000000182e+01,1.001635297536849878e+00,6.682999999999999829e+01
6.676187747732147404e-01,7.736599999999999966e+01,7.600987029075622070e-01,7.393999999999999773e+01
6.620080121947676810e-01,7.745999999999999375e+01,7.784212765097617837e-01,7.329000000000000625e+01
6.592375864763089233e-01,7.748399999999999466e+01,8.398936027288437245e-01,7.167000000000000171e+01
6.553498287030192770e-01,7.775199999999999534e+01,7.326306250691413391e-01,7.506999999999999318e+01
6.527191963037262123e-01,7.788599999999999568e+01,7.665166199207306130e-01,7.371999999999999886e+01
6.453024869989556489e-01,7.835399999999999920e+01,1.463405537605285689e+00,5.853000000000000114e+01
4.933068359751835441e-01,8.331799999999999784e+01,4.836255210638046309e-01,8.356999999999999318e+01
4.435231557968632443e-01,8.493200000000000216e+01,4.718053790926933222e-01,8.381999999999999318e+01
4.232069394167731757e-01,8.554000000000000625e+01,4.650152900815009982e-01,8.406000000000000227e+01
4.076859566485485642e-01,8.606999999999999318e+01,4.717746803164482028e-01,8.373000000000000398e+01
3.963098761523166091e-01,8.651399999999999579e+01,4.624246299266815408e-01,8.428000000000000114e+01
3.909841677569367291e-01,8.671999999999999886e+01,4.710662725567817954e-01,8.403000000000000114e+01
3.794266601733844446e-01,8.694799999999999329e+01,4.534999802708625793e-01,8.451000000000000512e+01
