train_loss,train_acc,test_loss,test_acc
1.925310874229197111e+00,2.912099999999999866e+01,1.567880617380142283e+00,4.164999999999999858e+01
1.597363057648739204e+00,3.996399999999999864e+01,1.534366118907928511e+00,4.488000000000000256e+01
1.448568490460095726e+00,4.592099999999999937e+01,1.377432155609130904e+00,4.993999999999999773e+01
1.322987347612600395e+00,5.070400000000000063e+01,1.232781320810317993e+00,5.656000000000000227e+01
1.204984527109833836e+00,5.545400000000000063e+01,1.111934385895729127e+00,6.025000000000000000e+01
1.112675135397850124e+00,5.884400000000000119e+01,1.188929547071456927e+00,5.732000000000000028e+01
1.048713445206127526e+00,6.128699999999999903e+01,9.313363224267959817e-01,6.803000000000000114e+01
9.907715764192058794e-01,6.340200000000000102e+01,9.738726186752318936e-01,6.617000000000000171e+01
9.285425601712883337e-01,6.570799999999999841e+01,8.456086760759353727e-01,7.068000000000000682e+01
8.938799098019709621e-01,6.724399999999999977e+01,9.962890696525573686e-01,6.573000000000000398e+01
8.562738233819946476e-01,6.849200000000000443e+01,8.182016199827194525e-01,7.242000000000000171e+01
8.289467463712862916e-01,6.947899999999999920e+01,8.315728950500488326e-01,7.193000000000000682e+01
7.998036603488580809e-01,7.061499999999999488e+01,1.030424271821975601e+00,6.334000000000000341e+01
7.802918175297319792e-01,7.128300000000000125e+01,7.624490994215011863e-01,7.376000000000000512e+01
7.612787411950737715e-01,7.190000000000000568e+01,7.668488779664039967e-01,7.373000000000000398e+01
7.373032490615649692e-01,7.289100000000000534e+01,7.698799169063568204e-01,7.364000000000000057e+01
7.284655632722712992e-01,7.316200000000000614e+01,8.430005639791489092e-01,7.145000000000000284e+01
7.158796465610299808e-01,7.362999999999999545e+01,8.309621649980545310e-01,7.092000000000000171e+01
7.045722673158816285e-01,7.417100000000000648e+01,6.789700090885162354e-01,7.675000000000000000e+01
6.906528921078538552e-01,7.432999999999999829e+01,6.925963696837424965e-01,7.598999999999999488e+01
6.817465367372078644e-01,7.468000000000000682e+01,7.278100615739822032e-01,7.490999999999999659e+01
6.675826180773927199e-01,7.532599999999999341e+01,6.537946286797523543e-01,7.765999999999999659e+01
6.681840412147209696e-01,7.543800000000000239e+01,7.353238266706466630e-01,7.489000000000000057e+01
6.519538685488883711e-01,7.601300000000000523e+01,8.691740930080413818e-01,7.067000000000000171e+01
6.451270385928775664e-01,7.605400000000000205e+01,7.121741008758545322e-01,7.668000000000000682e+01
6.359976088756795765e-01,7.632699999999999818e+01,7.586699131131172669e-01,7.432999999999999829e+01
6.269263550448600508e-01,7.664400000000000546e+01,6.074090853333473650e-01,7.954000000000000625e+01
6.194746577373856367e-01,7.689799999999999613e+01,5.972878196835518239e-01,7.943000000000000682e+01
6.197479064659694448e-01,7.719899999999999807e+01,6.194633361697197138e-01,7.876000000000000512e+01
6.121233681126323489e-01,7.730400000000000205e+01,6.257615047693252386e-01,7.909999999999999432e+01
5.043513153672523064e-01,8.123799999999999955e+01,4.788923692703246915e-01,8.367000000000000171e+01
4.637935108236034831e-01,8.246500000000000341e+01,4.663283270597458063e-01,8.420999999999999375e+01
4.449260954356864528e-01,8.317000000000000171e+01,4.638452151417732372e-01,8.425000000000000000e+01
4.325163926157500338e-01,8.347799999999999443e+01,4.504504975676536516e-01,8.454999999999999716e+01
4.302974558242446679e-01,8.362999999999999545e+01,4.433378705382347018e-01,8.482999999999999829e+01
4.202502643513252867e-01,8.394700000000000273e+01,4.481383526325226074e-01,8.464000000000000057e+01
4.093721032599964005e-01,8.422499999999999432e+01,4.421482929587364219e-01,8.495999999999999375e+01
4.056657705160662819e-01,8.436599999999999966e+01,4.310287696123122902e-01,8.532999999999999829e+01
4.021934399671871496e-01,8.439900000000000091e+01,4.355635038018226823e-01,8.496999999999999886e+01
3.992909761264805679e-01,8.454800000000000182e+01,4.319414094090461842e-01,8.515000000000000568e+01
3.938591088099248072e-01,8.483599999999999852e+01,4.286289183795451985e-01,8.540000000000000568e+01
3.895256407273089971e-01,8.481300000000000239e+01,4.291648319363594033e-01,8.539000000000000057e+01
3.855173602281019019e-01,8.500600000000000023e+01,4.204418665170669422e-01,8.559000000000000341e+01
3.807603464940624849e-01,8.509000000000000341e+01,4.279862673580646648e-01,8.543000000000000682e+01
3.780824314145481146e-01,8.522499999999999432e+01,4.166212162375450001e-01,8.578000000000000114e+01
3.726321728256962174e-01,8.529999999999999716e+01,4.168882682919502480e-01,8.585999999999999943e+01
3.722098274227907955e-01,8.531900000000000261e+01,4.162695547938347063e-01,8.562999999999999545e+01
3.668790467254950949e-01,8.557099999999999795e+01,4.153041586279869191e-01,8.606999999999999318e+01
3.647505356298992862e-01,8.564000000000000057e+01,4.155714598298072548e-01,8.581000000000000227e+01
3.596635835478677601e-01,8.570000000000000284e+01,4.067401507496833934e-01,8.606999999999999318e+01
3.574410769564416168e-01,8.589900000000000091e+01,4.157885318994521961e-01,8.604999999999999716e+01
3.559397060014402592e-01,8.589499999999999602e+01,4.142005689442157523e-01,8.600000000000000000e+01
3.528480274064461630e-01,8.595499999999999829e+01,4.110262434184551172e-01,8.606000000000000227e+01
3.501900771389837019e-01,8.596399999999999864e+01,4.085277611017227306e-01,8.628000000000000114e+01
3.457370912632369286e-01,8.618800000000000239e+01,4.038720816373825295e-01,8.612000000000000455e+01
3.470937680938969705e-01,8.621200000000000330e+01,4.032286612689495175e-01,8.615999999999999659e+01
3.417558068280939776e-01,8.635800000000000409e+01,4.076949357986450195e-01,8.604999999999999716e+01
3.377732202753691571e-01,8.652400000000000091e+01,4.083803786337375508e-01,8.631999999999999318e+01
3.378779774965227634e-01,8.640800000000000125e+01,4.061254477500915727e-01,8.604000000000000625e+01
3.362736291516467690e-01,8.658299999999999841e+01,3.986082819104194708e-01,8.650000000000000000e+01
3.196635899488883270e-01,8.720999999999999375e+01,3.878571847081184187e-01,8.684000000000000341e+01
3.154700302788058797e-01,8.742100000000000648e+01,3.855424666404724254e-01,8.698000000000000398e+01
3.114703890612667836e-01,8.752100000000000080e+01,3.865866148471832076e-01,8.670000000000000284e+01
3.108524423654732138e-01,8.753499999999999659e+01,3.858138965070247450e-01,8.687999999999999545e+01
3.084584152911934996e-01,8.760599999999999454e+01,3.830113787949085413e-01,8.703000000000000114e+01
3.077367311319731957e-01,8.767900000000000205e+01,3.822001063823700084e-01,8.684999999999999432e+01
3.056004022240943474e-01,8.768399999999999750e+01,3.812850230932235962e-01,8.704000000000000625e+01
3.047184481111633869e-01,8.773099999999999454e+01,3.820248816907405587e-01,8.690999999999999659e+01
3.033741235047045515e-01,8.759799999999999898e+01,3.813313312828540691e-01,8.703000000000000114e+01
3.020107890181529253e-01,8.790600000000000591e+01,3.813174550235271520e-01,8.690999999999999659e+01
3.011503890728401966e-01,8.787199999999999989e+01,3.799430969357490695e-01,8.712000000000000455e+01
3.026429151787477512e-01,8.779999999999999716e+01,3.782988151907920593e-01,8.707999999999999829e+01
3.016664619412263715e-01,8.775400000000000489e+01,3.813336117565631622e-01,8.701999999999999602e+01
3.002136396934919071e-01,8.779200000000000159e+01,3.802214322984218686e-01,8.701999999999999602e+01
2.989501825074100672e-01,8.784799999999999898e+01,3.799802154302597268e-01,8.721999999999999886e+01
2.997556504081277384e-01,8.790000000000000568e+01,3.772266934812069095e-01,8.717000000000000171e+01
2.975382111642671523e-01,8.789100000000000534e+01,3.763798750936985238e-01,8.712000000000000455e+01
2.983859107851067338e-01,8.790999999999999659e+01,3.776971572637558006e-01,8.712000000000000455e+01
2.960661855500067441e-01,8.797199999999999420e+01,3.766695059835910575e-01,8.706000000000000227e+01
2.956524386887660061e-01,8.799599999999999511e+01,3.770752438902855164e-01,8.709000000000000341e+01
